name,ra,dec,umag,rmag,type
object_1,224.81651,4.84191,20.71,19.30,STAR
object_2,216.14696,53.24689,20.28,19.73,QSO
object_3,151.33770,20.34231,22.28,21.09,STAR
object_4,151.29330,5.25877,23.40,20.97,STAR
object_5,150.07616,30.79163,19.22,19.31,STAR
object_6,179.06437,46.26810,21.98,20.81,QSO
object_7,154.81481,0.05557,21.78,20.08,STAR
object_8,150.00556,44.48248,24.13,20.85,STAR
object_9,231.46836,11.28521,18.59,18.24,QSO
object_10,29.45393,1.32746,19.15,18.74,QSO
object_11,153.85991,22.84144,21.09,19.55,QSO
object_12,150.00011,9.64105,20.38,18.17,STAR
object_13,150.02281,50.76582,18.41,18.01,QSO
object_14,150.00746,55.18126,20.95,19.91,STAR
object_15,155.19769,0.08473,21.72,20.28,STAR
object_16,230.76540,8.71919,20.56,19.24,STAR
object_17,137.16932,8.76102,18.46,18.17,QSO
object_18,150.01310,57.31882,20.88,20.78,STAR
object_19,183.19188,46.80929,19.17,18.89,QSO
object_20,150.79853,6.04674,20.27,19.90,STAR
object_21,179.53903,39.85754,21.75,21.46,QSO
object_22,163.14267,-0.25028,19.00,17.93,QSO
object_23,149.61904,17.25733,19.21,18.85,QSO
object_24,224.97448,2.59007,20.74,19.40,STAR
object_25,158.12512,22.33775,17.26,16.91,QSO
object_26,150.00507,44.33785,18.19,18.51,STAR
object_27,151.45925,31.21518,21.01,20.21,QSO
object_28,215.03446,52.27970,18.40,18.14,QSO
object_29,151.55064,30.51720,20.04,19.46,QSO
object_30,150.01792,22.71776,24.01,20.97,STAR
