lamb flux f_syn wei
3310.0 0.0 1.03196 -2.0
3311.0 0.0 1.03221 -2.0
3312.0 0.0 1.03245 -2.0
3313.0 0.0 1.03271 -2.0
3314.0 0.0 1.03314 -2.0
3315.0 0.0 1.03447 -2.0
3316.0 0.0 1.03829 -2.0
3317.0 0.0 1.04475 -2.0
3318.0 0.0 1.05088 -2.0
3319.0 0.0 1.05423 -2.0
3320.0 0.0 1.05539 -2.0
3321.0 0.0 1.05587 -2.0
3322.0 0.0 1.05665 -2.0
3323.0 0.0 1.05822 -2.0
3324.0 0.0 1.05945 -2.0
3325.0 0.0 1.05834 -2.0
3326.0 0.0 1.05454 -2.0
3327.0 0.0 1.04958 -2.0
3328.0 0.0 1.04597 -2.0
3329.0 0.0 1.04584 -2.0
3330.0 0.0 1.04933 -2.0
3331.0 0.0 1.05394 -2.0
3332.0 0.0 1.05561 -2.0
3333.0 0.0 1.05111 -2.0
3334.0 0.0 1.04054 -2.0
3335.0 0.0 1.02738 -2.0
3336.0 0.0 1.01618 -2.0
3337.0 0.0 1.01007 -2.0
3338.0 0.0 1.00819 -2.0
3339.0 0.0 1.00656 -2.0
3340.0 0.0 1.00324 -2.0
3341.0 0.0 1.00073 -2.0
3342.0 0.0 1.00317 -2.0
3343.0 0.0 1.01223 -2.0
3344.0 0.0 1.02484 -2.0
3345.0 0.0 1.03603 -2.0
3346.0 0.0 1.04355 -2.0
3347.0 0.0 1.04748 -2.0
3348.0 0.0 1.04749 -2.0
3349.0 0.0 1.04275 -2.0
3350.0 0.0 1.03274 -2.0
3351.0 0.0 1.01954 -2.0
3352.0 0.0 1.00837 -2.0
3353.0 0.0 1.00148 -2.0
3354.0 0.0 0.99631 -2.0
3355.0 0.0 0.99111 -2.0
3356.0 0.0 0.98873 -2.0
3357.0 0.0 0.99177 -2.0
3358.0 0.0 0.9976 -2.0
3359.0 0.0 1.00115 -2.0
3360.0 0.0 1.00071 -2.0
3361.0 0.0 0.99887 -2.0
3362.0 0.0 0.99916 -2.0
3363.0 0.0 1.0026 -2.0
3364.0 0.0 1.00582 -2.0
3365.0 0.0 1.00417 -2.0
3366.0 0.0 0.99565 -2.0
3367.0 0.0 0.98297 -2.0
