,,,,,,
,,,,,,
,,,,,,

Star no. ,V mag (m),B Mag,CI =B-V,V mag,Abs V (M),m-M
1,10.44,11.06,0.62,10.44,,
2,7.52,7.62,0.10,7.52,,
3,6.60,6.57,-0.03,6.60,,
4,7.97,8.15,0.18,7.97,,
5,5.09,5.01,-0.08,5.09,,
6,3.64,3.56,-0.08,3.64,,
7,8.12,8.34,0.22,8.12,,
8,11.35,12.13,0.78,11.35,,
9,6.95,7.07,0.12,6.95,,
10,10.91,11.77,0.86,10.91,,
11,9.05,9.54,0.49,9.05,,
12,10.02,10.58,0.56,10.02,,
13,8.27,8.63,0.36,8.27,,
14,9.25,9.80,0.55,9.25,,
15,9.88,10.42,0.54,9.88,,
16,7.66,7.87,0.21,7.66,,
17,10.48,11.12,0.64,10.48,,
18,6.81,6.87,0.06,6.81,,
19,2.87,2.78,-0.09,2.87,,
20,6.29,6.31,0.02,6.29,,
21,8.25,8.51,0.26,8.25,,
22,8.69,9.15,0.46,8.69,,
23,7.26,7.31,0.05,7.26,,
24,6.99,7.02,0.03,6.99,,
25,6.82,6.84,0.02,6.82,,
26,12.61,13.79,1.18,12.61,,
27,9.46,9.93,0.47,9.46,,
28,8.37,8.67,0.30,8.37,,
29,9.29,9.75,0.46,9.29,,
30,12.12,13.14,1.02,12.12,,
31,11.71,12.58,0.87,11.71,,
32,10.42,11.06,0.64,10.42,,
33,11.34,12.20,0.86,11.34,,
34,12.89,13.68,0.79,12.89,,
35,7.35,7.45,0.10,7.35,,
36,7.96,8.28,0.32,7.96,,
37,4.18,4.12,-0.06,4.18,,
38,9.70,10.25,0.55,9.70,,
39,5.76,5.72,-0.04,5.76,,
40,6.43,6.41,-0.02,6.43,,
41,8.60,8.95,0.35,8.60,,
42,11.27,12.19,0.92,11.27,,
43,3.88,3.81,-0.07,3.88,,
44,7.18,7.34,0.16,7.18,,
45,9.45,9.97,0.52,9.45,,
46,10.55,11.22,0.67,10.55,,
47,10.13,10.75,0.62,10.13,,
48,8.04,8.25,0.21,8.04,,
49,7.85,8.05,0.20,7.85,,
50,4.31,4.20,-0.11,4.31,,
51,10.39,11.02,0.63,10.39,,
52,5.46,5.42,-0.04,5.46,,
53,8.58,8.92,0.34,8.58,,
54,11.40,12.25,0.85,11.40,,
55,3.71,3.60,-0.11,3.71,,
56,10.81,11.61,0.80,10.81,,
57,11.93,12.87,0.94,11.93,,
