RA,DEC,Z,NVOTE,SPIRAL,ELLIPTICAL,UNCERTAIN,gminusi,vhelio,absmagi
147.3295052162828,0.02889491363341279,0.0480858,25,1,0,0,1.2122993,14415.7621965,-21.2619980948189
146.323171503424,-0.02995238777007689,0.0217088,34,0,0,1,0.45030022,6508.135424,-18.274793271202938
146.3009107377435,0.03548866062061638,0.021758,52,0,0,1,0.8737993,6522.885215,-19.087308113145035
146.329664807571,-0.3062217090389285,0.0364518,59,0,0,1,0.99480057,10927.9762515,-19.61100924808629
146.0573106806141,-0.09702736784823633,0.0367303,60,0,1,0,1.4191008,11011.468462750001,-20.655535656125572
145.6691691337692,-0.4210016535115179,0.0303626,39,0,0,1,0.6047993,9102.4797605,-18.425908766718237
145.3206535068096,-0.2528394104749893,0.0519541,34,0,0,1,1.0795994,15575.449524250002,-20.500012690538433
145.229885038103,0.7625734116922376,0.0470786,67,0,0,1,1.457201,14113.811190499999,-19.905931008207602
145.9926302026241,0.7880912951229117,0.0380103,57,0,1,0,1.6645985,11395.202862749999,-20.174620006243728
145.9696525961355,0.830922131082964,0.0363569,35,0,1,0,1.3719006,10899.525943249999,-19.932247157408057
146.0122796460171,0.7656391391077896,0.0374546,32,0,0,1,0.8181,11228.6081705,-19.191439804758325
145.8266009772269,0.3731099682524506,0.021564,53,0,0,1,0.9701004,6464.72547,-18.72445986530522
146.0209469155589,0.7335422461284766,0.0361773,28,0,1,0,1.4399996,10845.683210250001,-21.627894556756715
145.9478172647675,0.4652956171629204,0.0303838,28,0,1,0,1.2918997,9108.8353615,-20.592823970624252
146.2517465422909,0.5061301299431965,0.0373574,52,0,0,1,1.4997997,11199.4683395,-18.467596517385225
146.462977742783,0.6386871800959881,0.0303235,23,0,0,1,1.1170006,9090.75787375,-20.29060996236653
146.8422564563369,0.740813845011933,0.0201313,36,0,0,1,1.0689983,6035.212755250001,-18.298473287459835
148.8799999701999,-0.4672416150456011,0.0322071,21,0,0,1,1.2603006,9655.44702675,-20.31237204784172
147.8307155892206,-0.1761040529022726,0.0370412,28,0,0,1,0.61639977,11104.673951,-19.30693807347115
147.4602315666835,-0.3010200386680905,0.0366989,59,0,0,1,1.3873997,11002.05497825,-19.480778313904736
147.3063016537051,1.177789217799395,0.0250227,53,1,0,0,1.0769997,7501.617789749999,-20.052684481268706
147.5131200286028,0.7190056902582899,0.0309428,44,0,0,1,1.1584997,9276.419369,-19.93091163953285
147.7259293855884,1.192675034232723,0.0283366,47,0,0,1,0.35090065,8495.1001555,-18.29875311993453
147.8958706646904,1.112071264902873,0.0205418,59,0,1,0,1.2551003,6158.2775765,-20.73760657739144
147.9944692201504,0.9846920885351502,0.0466621,26,0,0,1,0.5503998,13988.947614249999,-18.927635077077696
147.9313329516684,0.9522091108329943,0.0271979,31,0,0,1,0.6141987,8153.72643575,-18.036490677352894
147.8973227814142,0.4348006617513077,0.0206331,52,0,0,1,0.62330055,6185.64863175,-19.54783560819734
148.2472717681043,0.5028801885390081,0.0355224,35,0,0,1,0.40320015,10649.349102,-19.465125974962106
148.188109753249,0.7516315075969838,0.0261674,21,0,0,1,0.20660019,7844.7902645,-18.090617168205483
148.0872725578495,0.9703552711499692,0.0473561,26,0,1,0,1.4428997,14197.00360925,-22.274393448276314
148.137858168482,0.9841449605705803,0.0467638,25,0,0,1,1.3947,14019.4365115,-21.990362259910498
148.5246647620559,0.6505365770668838,0.0345453,35,1,0,0,0.6349993,10356.42185025,-20.60495871487018
148.5589503138173,0.6383248767612695,0.0346712,25,1,0,0,0.8842001,10394.165726,-21.517458381620543
148.4175052780039,0.9181282809523714,0.046954,33,0,0,1,1.2961006,14076.457045000001,-19.61837697225556
148.5516475411653,0.8053126206210172,0.0288361,25,0,0,1,1.0244999,8644.84650925,-19.129396849906293
150.0169223344295,-0.5880814586363835,0.0460077,55,0,0,1,1.1285,13792.763402249999,-20.383166622998004
150.5138761007364,-0.2138667361281208,0.0451622,56,0,0,1,0.5795002,13539.2888435,-19.404689460899533
150.4706228992166,-0.1251672831170849,0.0328305,31,0,1,0,1.3333998,9842.33767125,-21.116501233344763
150.2898050328027,-0.07950668561945935,0.0452635,26,0,1,0,1.3653002,13569.65782375,-22.58455391320536
150.3192369365084,-0.03069678775995996,0.0327065,44,0,0,1,0.50510025,9805.16340125,-18.66158401100808
150.2318965169394,-0.2777751355480124,0.0461253,52,0,0,1,1.5569,13828.01900025,-19.319808966585647
150.2082548135419,-0.1491712647416831,0.0428143,23,1,0,0,0.85459995,12835.40603275,-21.126757595539246
149.8814486049414,-0.2565102746069638,0.0464684,21,0,1,0,1.2860003,13930.877807,-21.06480245236316
149.8591326314707,-0.2539232131346623,0.0474776,26,1,0,0,1.2778997,14233.428398,-23.231957253644893
149.6053497994874,-0.3370793816526679,0.0328337,64,0,0,1,0.8811989,9843.29700725,-18.656213113695898
148.7298180930022,0.3786796401239567,0.046196,25,1,0,0,0.88250065,13849.21433,-21.543435485208818
148.936564639944,0.8607882394962425,0.0465229,31,0,0,1,1.4556007,13947.21649825,-20.315047487372468
149.114128685086,0.9315556026329828,0.0468101,28,0,0,1,0.7276993,14033.31690425,-19.261011460272513
